Scenario,controls,covid,year,statistic,value
B.1.1,Internal,nocovid,4,sd,4.847037797598658
B.1.1,Internal,nocovid,4,rmse,5.207765788609323
B.1.1,Internal,nocovid,5,mean.abs.bias,5.103218835360543
B.1.1,Internal,nocovid,5,abs.mean.bias,2.3427282672458216
B.1.1,Internal,nocovid,5,mean.bias,-2.3427282672458216
B.1.1,Internal,nocovid,5,sd,5.92415730817614
B.1.1,Internal,nocovid,5,rmse,6.365047074966951
B.1.2,External,covid,1,mean.abs.bias,4.653901427652044
B.1.2,External,covid,1,abs.mean.bias,0.2712412278684335
B.1.2,External,covid,1,mean.bias,-0.2712412278684335
B.1.2,External,covid,1,sd,5.865284984495848
B.1.2,External,covid,1,rmse,5.865691486700382
B.1.2,External,covid,2,mean.abs.bias,5.121463959554137
B.1.2,External,covid,2,abs.mean.bias,1.4644163780160329
B.1.2,External,covid,2,mean.bias,-1.4644163780160329
B.1.2,External,covid,2,sd,6.1894848641786675
B.1.2,External,covid,2,rmse,6.354338578194478
B.1.2,External,covid,3,mean.abs.bias,6.030027008225815
B.1.2,External,covid,3,abs.mean.bias,1.9903037797669207
B.1.2,External,covid,3,mean.bias,-1.9903037797669207
B.1.2,External,covid,3,sd,7.17670825770193
B.1.2,External,covid,3,rmse,7.440661279018769
B.1.2,External,covid,4,mean.abs.bias,7.080696942417407
B.1.2,External,covid,4,abs.mean.bias,2.307774027615202
B.1.2,External,covid,4,mean.bias,-2.307774027615202
B.1.2,External,covid,4,sd,8.466708001543832
B.1.2,External,covid,4,rmse,8.767416669531274
B.1.2,External,covid,5,mean.abs.bias,8.208357469112524
B.1.2,External,covid,5,abs.mean.bias,2.5325717886886268
B.1.2,External,covid,5,mean.bias,-2.5325717886886268
B.1.2,External,covid,5,sd,9.893404078394207
B.1.2,External,covid,5,rmse,10.202823395253485
B.1.2,External,nocovid,1,mean.abs.bias,1.947821413058126
B.1.2,External,nocovid,1,abs.mean.bias,0.11141434280348994
